
”≥œÒ√˚≥∆                       PID ª·ª∞√˚              ª·ª∞#       ƒ⁄¥Ê π”√  ◊¥Ã¨            ”√ªß√˚                                                 CPU  ±º‰ ¥∞ø⁄±ÍÃ‚                                                                
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   106:44:26 ‘›»±                                                                    
svchost.exe                   1676 Services                   0      2,060 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1704 Services                   0      4,376 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1748 Services                   0      3,144 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1808 Services                   0      2,408 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1816 Services                   0     11,500 K Unknown         ‘›»±                                                    0:00:07 ‘›»±                                                                    
svchost.exe                   2028 Services                   0      7,052 K Unknown         ‘›»±                                                    0:00:09 ‘›»±                                                                    
IntelCpHeciSvc.exe            1200 Services                   0      2,080 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1916 Services                   0      3,760 K Unknown         ‘›»±                                                    0:00:02 ‘›»±                                                                    
svchost.exe                   2148 Services                   0      6,492 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   2228 Services                   0      3,752 K Unknown         ‘›»±                                                    0:00:49 ‘›»±                                                                    
dasHost.exe                   2284 Services                   0      9,088 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
svchost.exe                   2368 Services                   0     15,352 K Unknown         ‘›»±                                                    0:00:43 ‘›»±                                                                    
svchost.exe                   2456 Services                   0      7,924 K Unknown         ‘›»±                                                    0:00:22 ‘›»±                                                                    
NVDisplay.Container.exe       2468 Services                   0      7,256 K Unknown         ‘›»±                                                    0:00:46 ‘›»±                                                                    
svchost.exe                   2556 Services                   0      6,060 K Unknown         ‘›»±                                                    0:00:42 ‘›»±                                                                    
svchost.exe                   2568 Services                   0      4,564 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   2580 Services                   0      7,144 K Unknown         ‘›»±                                                    0:06:19 ‘›»±                                                                    
svchost.exe                   2600 Services                   0      1,952 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
svchost.exe                   2636 Services                   0      4,496 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
Memory Compression            2696 Services                   0    551,588 K Unknown         ‘›»±                                                    0:15:11 ‘›»±                                                                    
svchost.exe                   2764 Services                   0      2,640 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   2784 Services                   0      4,800 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
igfxCUIService.exe            2928 Services                   0      3,596 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   2996 Services                   0      3,572 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3056 Services                   0      3,216 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3064 Services                   0      5,348 K Unknown         ‘›»±                                                    0:00:06 ‘›»±                                                                    
svchost.exe                   2508 Services                   0      2,992 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3132 Services                   0      3,672 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3328 Services                   0      9,096 K Unknown         ‘›»±                                                    0:00:12 ‘›»±                                                                    
svchost.exe                   3372 Services                   0      3,348 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3484 Services                   0      4,940 K Unknown         ‘›»±                                                    0:04:03 ‘›»±                                                                    
svchost.exe                   3492 Services                   0      2,928 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3528 Services                   0      4,464 K Unknown         ‘›»±                                                    0:00:03 ‘›»±                                                                    
svchost.exe                   3668 Services                   0      4,364 K Unknown         ‘›»±                                                    0:00:07 ‘›»±                                                                    
svchost.exe                   3812 Services                   0      9,804 K Unknown         ‘›»±                                                    0:00:13 ‘›»±                                                                    
svchost.exe                   3892 Services                   0      4,192 K Unknown         ‘›»±                                                    0:00:02 ‘›»±                                                                    
svchost.exe                   3972 Services                   0      7,212 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
spoolsv.exe                   4048 Services                   0      4,972 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   3216 Services                   0      9,396 K Unknown         ‘›»±                                                    0:00:10 ‘›»±                                                                    
svchost.exe                   4292 Services                   0     43,296 K Unknown         ‘›»±                                                    0:02:57 ‘›»±                                                                    
svchost.exe                   4300 Services                   0     10,344 K Unknown         ‘›»±                                                    0:00:05 ‘›»±                                                                    
HPPrintScanDoctorService.     4312 Services                   0      6,724 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
OneApp.IGCC.WinService.ex     4324 Services                   0     15,328 K Unknown         ‘›»±                                                    0:00:05 ‘›»±                                                                    
svchost.exe                   4356 Services                   0      3,008 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   4420 Services                   0     23,600 K Unknown         ‘›»±                                                    0:00:49 ‘›»±                                                                    
svchost.exe                   4508 Services                   0      1,604 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
QQProtect.exe                 4516 Services                   0      9,576 K Unknown         ‘›»±                                                    0:00:10 ‘›»±                                                                    
sqlwriter.exe                 4524 Services                   0      2,164 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   4544 Services                   0      3,400 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
SynTPEnhService.exe           4552 Services                   0      3,176 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   4564 Services                   0      4,432 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
MsMpEng.exe                   4588 Services                   0    338,656 K Unknown         ‘›»±                                                    1:19:17 ‘›»±                                                                    
svchost.exe                   4600 Services                   0      1,372 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
WMIRegistrationService.ex     4636 Services                   0      1,424 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   4644 Services                   0     14,836 K Unknown         ‘›»±                                                    0:00:08 ‘›»±                                                                    
svchost.exe                   4684 Services                   0      4,732 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
OriginWebHelperService.ex     4812 Services                   0      9,636 K Unknown         ‘›»±                                                    0:00:45 ‘›»±                                                                    
svchost.exe                   4836 Services                   0      5,964 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   4976 Services                   0      6,176 K Unknown         ‘›»±                                                    0:00:07 ‘›»±                                                                    
jhi_service.exe               5060 Services                   0        992 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
NisSrv.exe                    5376 Services                   0      6,428 K Unknown         ‘›»±                                                    0:00:09 ‘›»±                                                                    
PresentationFontCache.exe     6252 Services                   0      3,568 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   6416 Services                   0     12,908 K Unknown         ‘›»±                                                    0:00:19 ‘›»±                                                                    
svchost.exe                   6488 Services                   0      3,244 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   6796 Services                   0     14,596 K Unknown         ‘›»±                                                    0:00:04 ‘›»±                                                                    
svchost.exe                   7656 Services                   0      5,672 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
svchost.exe                   7740 Services                   0      7,208 K Unknown         ‘›»±                                                    0:00:03 ‘›»±                                                                    
svchost.exe                   7896 Services                   0     14,048 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
SearchIndexer.exe             6304 Services                   0     56,348 K Unknown         ‘›»±                                                    0:01:40 ‘›»±                                                                    
dasHost.exe                   9780 Services                   0      4,036 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
SecurityHealthService.exe     1148 Services                   0      9,968 K Unknown         ‘›»±                                                    0:00:02 ‘›»±                                                                    
svchost.exe                  12468 Services                   0     13,912 K Unknown         ‘›»±                                                    0:00:02 ‘›»±                                                                    
svchost.exe                  12828 Services                   0      6,048 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
SgrmBroker.exe               13240 Services                   0      6,372 K Unknown         ‘›»±                                                    0:00:07 ‘›»±                                                                    
svchost.exe                  12136 Services                   0      5,292 K Unknown         ‘›»±                                                    0:00:07 ‘›»±                                                                    
svchost.exe                    788 Services                   0      5,248 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                  12724 Services                   0      3,364 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                  13748 Services                   0      2,036 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                  10116 Services                   0      4,156 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                  11212 Services                   0      4,188 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
MpCopyAccelerator.exe        13448 Services                   0      3,372 K Unknown         ‘›»±                                                    0:00:27 ‘›»±                                                                    
svchost.exe                  13124 Services                   0      6,404 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   6732 Services                   0      6,808 K Unknown         ‘›»±                                                    0:00:06 ‘›»±                                                                    
svchost.exe                  15864 Services                   0      2,640 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
csrss.exe                    36824 Console                    5      8,116 K Running         ‘›»±                                                    0:00:48 ‘›»±                                                                    
winlogon.exe                 16068 Console                    5     10,220 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
fontdrvhost.exe              35392 Console                    5     23,044 K Unknown         ‘›»±                                                    0:00:41 ‘›»±                                                                    
dwm.exe                      38152 Console                    5    185,916 K Running         ‘›»±                                                    0:06:06 DWM Notification Window                                                 
NVDisplay.Container.exe      25804 Console                    5     23,924 K Running         ‘›»±                                                    0:00:00 UxdService                                                              
svchost.exe                  16664 Services                   0      5,504 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
SynTPEnh.exe                 35336 Console                    5     20,864 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:07 ‘›»±                                                                    
SynTPHelper.exe              27136 Console                    5      5,600 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
sihost.exe                   12852 Console                    5     26,560 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:05 ‘›»±                                                                    
svchost.exe                   8492 Console                    5     28,644 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:31 ‘›»±                                                                    
svchost.exe                  15568 Console                    5     38,840 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 Windows Push Notifications Platform                                     
taskhostw.exe                31420 Console                    5     18,488 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 Task Host Window                                                        
igfxEM.exe                   22436 Console                    5     13,120 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 The Event Manager Dashboard                                             
explorer.exe                 21948 Console                    5    210,060 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:14:45 ‘›»±                                                                    
svchost.exe                  12336 Console                    5     22,876 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 ‘›»±                                                                    
ctfmon.exe                   24744 Console                    5     54,064 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:32 ‘›»±                                                                    
ChsIME.exe                   12152 Console                    5      7,500 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
StartMenuExperienceHost.e    26676 Console                    5     68,352 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ∆Ù∂Ø                                                                    
RuntimeBroker.exe            26920 Console                    5     23,444 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
SearchApp.exe                29912 Console                    5    109,548 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:12 À—À˜                                                                    
RuntimeBroker.exe            40540 Console                    5     38,280 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 ‘›»±                                                                    
YourPhone.exe                37016 Console                    5     21,324 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
TextInputHost.exe             1888 Console                    5     64,344 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:22 Microsoft Text Input Application                                        
RuntimeBroker.exe            26320 Console                    5     27,100 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 OleMainThreadWndName                                                    
RuntimeBroker.exe             7184 Console                    5     15,028 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
SecurityHealthSystray.exe    24444 Console                    5      9,048 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
utility.exe                  29268 Console                    5      8,712 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 utilityWtl                                                              
Listary.exe                  20856 Console                    5    133,500 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:53 ‘›»±                                                                    
ChsIME.exe                    2864 Console                    5     15,468 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
yundetectservice.exe         29108 Console                    5     12,036 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
ListaryService.exe           32792 Console                    5      6,792 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
YYNote.exe                   32136 Console                    5     74,388 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:21 ‘›»±                                                                    
ListaryHelper64.exe          22928 Console                    5     12,584 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
ListaryHookHelper32.exe      19288 Console                    5      6,688 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:18 ‘›»±                                                                    
ListaryHookHelper64.exe      34172 Console                    5      7,992 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ListaryHookHelperWnd                                                    
ApplicationFrameHost.exe     23644 Console                    5     25,876 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 …Ë÷√                                                                    
SystemSettings.exe           24224 Console                    5      1,460 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 …Ë÷√                                                                    
msedge.exe                    4332 Console                    5    238,752 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:02:41 ∑≠“Î - Search ∫Õ¡ÌÕ‚ 13 ∏ˆ“≥√Ê - ∏ˆ»À - Microsoft? Edge                 
msedge.exe                   10028 Console                    5      8,248 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                    6772 Console                    5    288,776 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:02:06 ‘›»±                                                                    
msedge.exe                   19228 Console                    5     47,684 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:30 ‘›»±                                                                    
msedge.exe                   23444 Console                    5     20,188 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                   23836 Console                    5     67,028 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:12 ‘›»±                                                                    
ShellExperienceHost.exe      17880 Console                    5     52,252 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 –¬Õ®÷™                                                                  
msedge.exe                   38968 Console                    5    148,152 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:33 ‘›»±                                                                    
RuntimeBroker.exe            17208 Console                    5     17,320 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
Clash for Windows.exe        32380 Console                    5     69,948 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:27 Clash for Windows                                                       
IGCCTray.exe                 21204 Console                    5     58,932 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 .NET-BroadcastEventWindow.4.0.0.0.189441b.0                             
IGCC.exe                     36832 Console                    5     47,288 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
Clash for Windows.exe        15660 Console                    5     43,928 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 ‘›»±                                                                    
Cortana.exe                  22032 Console                    5     62,524 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
RuntimeBroker.exe            18964 Console                    5     22,920 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
svchost.exe                  23000 Console                    5     21,580 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
Clash for Windows.exe        22048 Console                    5     42,288 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:09 ‘›»±                                                                    
Clash for Windows.exe        25712 Console                    5    101,544 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:01:16 ‘›»±                                                                    
clash-win64.exe              14988 Console                    5     29,824 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:51 ‘›»±                                                                    
conhost.exe                  34480 Console                    5      5,392 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
TGitCache.exe                12660 Console                    5     25,260 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:03:09 TGitCacheWindow                                                         
svchost.exe                  31564 Console                    5     20,052 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
dllhost.exe                  16512 Console                    5     15,316 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
QQ.exe                         676 Console                    5    216,112 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:06:13 Õº∆¨≤Èø¥                                                                
TXPlatform.exe               26416 Console                    5      2,780 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
WeChat.exe                   26060 Console                    5    139,832 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:02:13 Õº∆¨≤Èø¥                                                                
WmiPrvSE.exe                 19160 Services                   0     14,232 K Unknown         ‘›»±                                                    0:00:35 ‘›»±                                                                    
WechatBrowser.exe            40876 Console                    5     51,692 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:12 ‘›»±                                                                    
WechatBrowser.exe             8852 Console                    5     17,016 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
WechatBrowser.exe             5660 Console                    5    122,564 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:13 ‘›»±                                                                    
WechatBrowser.exe            11768 Console                    5     78,036 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:18 ‘›»±                                                                    
WechatBrowser.exe            25340 Console                    5     46,580 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
WechatBrowser.exe             7196 Console                    5     90,988 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:28 ‘›»±                                                                    
WeChatAppEx.exe              23148 Console                    5     44,016 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:35 ‘›»±                                                                    
WeChatAppEx.exe              27556 Console                    5     17,028 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
WeChatAppEx.exe              31996 Console                    5     97,888 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:02:42 ‘›»±                                                                    
WeChatAppEx.exe              19252 Console                    5    109,048 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:09:32 ‘›»±                                                                    
wpscloudsvr.exe              34876 Console                    5    100,560 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:40 ‘›»±                                                                    
WeChatPlayer.exe             18640 Console                    5     21,128 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 GDI+ Window (WeChatPlayer.exe)                                          
Feishu.exe                   21064 Console                    5     88,756 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:29 ∑… È                                                                    
Feishu.exe                   19988 Console                    5     63,824 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 OleMainThreadWndName                                                    
Feishu.exe                   36352 Console                    5     89,832 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:19 ‘›»±                                                                    
Feishu.exe                   30540 Console                    5     20,244 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
Feishu.exe                   26540 Console                    5    112,460 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:19 ‘›»±                                                                    
Feishu.exe                   33836 Console                    5     11,148 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
dllhost.exe                   9656 Console                    5     10,008 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
devenv.exe                   14600 Console                    5    771,812 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:04:03 ProTest - Microsoft Visual Studio                                       
PerfWatson2.exe              37984 Console                    5     59,224 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:04 OleMainThreadWndName                                                    
Microsoft.ServiceHub.Cont    17456 Console                    5     56,564 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
ServiceHub.ThreadedWaitDi    24208 Console                    5     78,752 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:02:49 Hidden Window                                                           
ServiceHub.VSDetouredHost    19384 Console                    5     75,456 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:04 ‘›»±                                                                    
ServiceHub.RoslynCodeAnal    32660 Console                    5    217,736 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:14 ‘›»±                                                                    
ServiceHub.Host.CLR.exe      37332 Console                    5     95,132 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:07 ‘›»±                                                                    
ServiceHub.IndexingServic    13264 Console                    5     76,504 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:13 ‘›»±                                                                    
ServiceHub.SettingsHost.e     3560 Console                    5     96,536 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:06 GDI+ Window (ServiceHub.SettingsHost.exe)                               
ServiceHub.IdentityHost.e    35224 Console                    5     66,944 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:05 GDI+ Window (ServiceHub.IdentityHost.exe)                               
ServiceHub.Host.CLR.x64.e    26736 Console                    5     59,660 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
ServiceHub.Host.CLR.x86.e    12876 Console                    5     58,304 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:02 ‘›»±                                                                    
ServiceHub.TestWindowStor    27184 Console                    5     64,756 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
ServiceHub.Host.CLR.x86.e    25232 Console                    5     61,820 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 GDI+ Window (ServiceHub.Host.CLR.x86.exe)                               
ServiceHub.Host.CLR.exe      28792 Console                    5     57,324 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:04 ‘›»±                                                                    
ServiceHub.DataWarehouseH    23088 Console                    5    100,172 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:36 GDI+ Window (ServiceHub.DataWarehouseHost.exe)                          
WebViewHost.exe              37096 Console                    5     56,228 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:02:44 B                                                                       
msedge.exe                    2324 Console                    5     22,960 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                   35456 Console                    5     26,404 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
notepad.exe                  33312 Console                    5     17,436 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 README.md - º« ¬±æ                                                      
SearchApp.exe                24052 Console                    5    244,336 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:08 ‘›»±                                                                    
Unity Hub.exe                22288 Console                    5     85,640 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:14 Unity Hub 2.4.4                                                         
Unity Hub.exe                11056 Console                    5     91,384 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:07 ‘›»±                                                                    
Unity Hub.exe                35900 Console                    5    119,460 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:09 ‘›»±                                                                    
notepad.exe                  16908 Console                    5     16,536 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 output.log - º« ¬±æ                                                     
taskhostw.exe                13044 Console                    5     15,416 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 Task Host Window                                                        
